date,Lines of code (LOC),Python files,LOC / Python files,production file,test file,list,tuple,dictionary,function_definition,class,function,def,typed_parameter,identifier,no,yes,return_statement,@dataclass,with_statement,if_statement,for_statement,list_comprehension,for_in_clause,import_from_statement,import_statement,set,class_definition,default_parameter,list_splat_pattern,dictionary_splat_pattern,yield,try_statement,while_statement,conditional_expression,dictionary_comprehension,set_comprehension,raise_statement
2015,249,7,35.57142857142857,4,3,18,3,1,25,0,6.0,25,11,6,18,7,12,0,7,3,1,1,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0
2016,7738,194,39.88659793814433,103,91,349,350,50,739,40.1,5.4,739,11,1023,739,7,445,0,26,142,36,27,45,364,167,9,32,21,10,6,36,27,1,3,3,2,5
2017,10582,277,38.20216606498195,146,131,507,517,52,966,40.3,5.1,966,11,1363,966,7,565,0,26,175,55,36,58,538,239,14,35,20,9,6,62,35,2,4,3,2,4
2018,13487,337,40.02077151335312,180,157,620,613,58,1187,45.4,5.2,1187,11,1697,1187,7,695,0,32,243,75,41,68,681,313,14,38,19,11,7,84,42,2,13,3,2,7
2019,14343,359,39.95264623955432,191,168,657,669,62,1267,46.3,5.1,1267,11,1807,1267,7,742,0,33,260,81,42,69,721,335,14,40,20,11,7,84,45,3,13,3,2,7
2020,15629,385,40.5948051948052,205,180,737,744,66,1360,49.3,5.1,1360,11,1948,1360,7,795,0,39,276,84,52,82,774,349,14,40,20,11,7,84,47,3,14,3,2,7
2021,16032,397,40.38287153652393,211,186,747,737,66,1398,49.4,5.1,1398,11,2000,1398,7,809,0,39,278,84,52,85,799,357,14,40,20,11,7,84,48,3,14,3,2,7
2022,16609,411,40.41119221411192,218,193,778,780,66,1447,49.9,5.1,1447,11,2065,1447,7,835,0,40,287,85,52,89,827,365,14,40,20,11,7,86,49,3,14,3,2,7
2023,16763,415,40.39277108433735,220,195,795,791,66,1458,49.9,5.1,1458,11,2086,1458,7,843,0,40,289,84,53,90,833,367,14,40,20,11,7,84,48,3,14,3,2,7
2024,16770,416,40.3125,220,196,794,791,67,1462,50.0,5.1,1462,11,2089,1462,7,847,0,40,290,84,53,90,833,371,14,40,21,13,8,84,49,3,14,3,2,7
